ID,Name,Grade,Category,Type,Icon URL,Problem
"app_1770825782369_lhdsozenp","Peacock TV: Stream TV & Movies","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825779072_av0me4msu","Philo: Shows, Movies, Live TV.","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825792755_sxld9iujy","Photoroom: AI Photo Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825791455_a52oa7n2k","Photoshop Express Photo Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825789437_z2u9netcl","Picsart AI Photo Editor, Video","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825783371_4ioydfgzx","PlutoTV: Live TV & Free Movies","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825774531_0sclqh3zb","PolyBuzz: Chat with AI Friends","D","Communication","regular","","Icône manquante (vide)"
"app_1770825777435_5lqci2quy","Prime Video","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825750808_ap2fvs1xa","Rakuten Viber Messenger","D","Communication","regular","","Icône manquante (vide)"
"app_1770825790189_kf5kiop65","Remini - AI Photo Enhancer","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825798444_7onat0hby","SHEIN-Shopping Online","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825776033_pa0fruqf9","STARZ","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825767400_vcsimxulv","Samsung Internet Browser","D","Navigation","regular","","Icône manquante (vide)"
"app_1770825791124_7y7w7qrph","SmugMug - Photography Platform","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825792381_0aod61n6k","Snapseed","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825777784_igzxc49jf","Sony LIV: Series, Shows, Movie","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825756112_4vftq29u7","Sora by OpenAI","D","IA","regular","https://openai.com/favicon.ico","URL retourne 403 Forbidden"
"app_1770825804160_73a1diwmj","Target: Shop Deals & Trends","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825800745_u1t52eytd","Temu: Shop Like a Billionaire","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825749825_1e2071x46","Text Free: Second Phone Number","D","Communication","regular","","Icône manquante (vide)"
"app_1770825743256_09txpgcuj","TextNow: Call + Text Unlimited","D","Communication","regular","","Icône manquante (vide)"
"app_1770825780918_z9m5648kn","The Roku App (Official)","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825754572_by6nhhm2i","Threads","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825806111_0lr15vpps","Trendyol - Online Alışveriş","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825749376_nq2d6dajv","Truecaller: Spam Call Blocker","D","Communication","regular","","Icône manquante (vide)"
"app_1770825775219_um0hhlzj1","Tubi: Free Movies & Live TV","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825753160_bcl5fsqg3","Tumblr Social Media & Art Blog","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825755663_0e4bvgjan","Twitch: Live Streaming","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825791907_fstylnbrx","Unscripted Photography Posing","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825755206_aenmodq1o","VK: music, video, messenger","D","Communication","regular","","Icône manquante (vide)"
"app_1770825789066_v5c83eak0","VSCO: Photo Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825787839_hw3d205nm","VidHub - Ultimate media player","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825786488_m8rtiv95a","Video Player - OPlayer Lite","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825787286_23kw68t5m","Video Player - PRO Version","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825786172_i55nhla55","Video Player All Format","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825784570_ztlvsya2t","Video Player All Format","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825785238_rh822qez0","Video Player All Format","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825786856_rckttgmt2","Video Player for Android","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825783786_4oz3igde7","WEBTOON: Manga, Comics, Manhwa","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825798943_xi2zmvl3k","Walmart: Shopping & Savings","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825805084_f3hdd5iu5","Wayfair - Shop All Things Home","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825801408_he7rh00kb","Wish: Shop and Save","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825778308_52u0qtp0q","Xbox","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825795091_q6c6vopgp","YouCam Makeup - Selfie Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825790489_bzr07u7h3","YouCam Perfect - Photo Editor","D","Multimédia","regular","","Icône manquante (vide)"
"app_1770825753579_ubmnnmdyb","ZEPETO: Avatar, Connect & Live","D","Réseaux sociaux","regular","","Icône manquante (vide)"
"app_1770825806494_h1nk5i88o","adidas: Shop Shoes & Clothing","D","Shopping","regular","👟","Icône invalide (ne commence pas par http): ""👟"""
"app_1770825782950_kn2s2hh77","aha - 100% Local Entertainment","D","Multimédia","regular","🎬","Icône invalide (ne commence pas par http): ""🎬"""
"app_1770825799343_u1klsdm6y","eBay online shopping & selling","D","Shopping","regular","","Icône manquante (vide)"
"app_1770825801791_1h21lvvfk","noon Online Shopping & Grocery","D","Shopping","regular","","Icône manquante (vide)"
"1770561515682","testED","E","Tech & Dev","star","⭐","Icône invalide (ne commence pas par http): ""⭐"""
"app_1770825764543_wf8m0sp37","​​Microsoft Copilot","D","IA","regular","https://res.cdn.office.net/assets/mail/fabric-cdn-prod_20230815.002/fabric/assets/brand-icons/product/svg/copilot_24x1.svg","URL retourne 404 Not Found"
